city,locality,area_sqft,bhk,bathrooms,age_years,floor,total_floors,parking,gym,pool,furnishing,price
Chennai,Anna Nagar,1585,2,3,21,6,11,0,0,1,Semi-Furnished,8360698
Pune,Hinjewadi,3812,4,4,11,28,35,1,1,0,Fully Furnished,24342912
Hyderabad,Kondapur,2957,3,2,5,24,28,1,0,0,Semi-Furnished,15241325
Pune,Hinjewadi,799,3,2,1,1,2,0,1,0,Semi-Furnished,5996334
Pune,Kothrud,3766,4,3,14,12,15,1,1,0,Fully Furnished,23315377
Mumbai,Andheri,953,3,4,14,26,29,1,1,0,Semi-Furnished,9957201
Hyderabad,Jubilee Hills,3121,3,2,17,28,29,0,1,0,Unfurnished,17323801
Hyderabad,HITEC City,1118,1,1,22,13,21,1,1,1,Fully Furnished,6440250
Hyderabad,Madhapur,1136,2,1,16,3,7,0,1,0,Semi-Furnished,7123822
Pune,Wakad,2848,2,3,24,7,12,1,1,0,Semi-Furnished,17423729
Chennai,T Nagar,1278,3,4,2,4,7,1,0,0,Semi-Furnished,8831584
Hyderabad,Gachibowli,1979,5,6,21,11,15,0,1,0,Unfurnished,10309372
Delhi NCR,Dwarka,3536,5,6,2,26,27,1,0,1,Fully Furnished,27677298
Pune,Hinjewadi,2749,4,4,8,23,27,1,0,0,Semi-Furnished,19493044
Mumbai,Kurla,3221,2,3,9,11,13,0,1,1,Fully Furnished,29645416
Chennai,OMR,2849,5,4,11,10,16,1,0,0,Semi-Furnished,17030246
Delhi NCR,Greater Noida,2544,3,3,22,1,3,1,0,0,Fully Furnished,18559832
Delhi NCR,Greater Noida,2147,2,3,0,27,36,1,0,1,Fully Furnished,17762337
Mumbai,Thane,836,3,4,3,23,25,1,1,1,Semi-Furnished,10055723
Chennai,OMR,2579,1,1,20,21,25,1,1,1,Unfurnished,14604152
Pune,Baner,2494,2,1,22,4,8,0,1,1,Fully Furnished,15376038
Bangalore,Koramangala,3669,4,4,22,12,13,1,0,1,Unfurnished,16997518
Chennai,Anna Nagar,2507,3,2,4,17,24,1,0,1,Fully Furnished,15770222
Mumbai,Bandra,2282,2,1,16,22,23,1,1,0,Semi-Furnished,21745252
Delhi NCR,Faridabad,3320,3,4,20,16,24,0,1,1,Semi-Furnished,27279170
Pune,Viman Nagar,3762,4,4,4,29,32,1,1,0,Unfurnished,24467462
Chennai,Velachery,1571,3,3,3,5,13,1,1,0,Semi-Furnished,9846478
Bangalore,HSR Layout,2531,2,3,21,18,26,1,0,0,Semi-Furnished,14009790
Bangalore,Hebbal,1773,2,3,14,21,26,1,1,1,Unfurnished,10403459
Hyderabad,HITEC City,1749,2,1,23,16,19,1,1,1,Semi-Furnished,9972141
Hyderabad,Jubilee Hills,1795,5,6,9,16,25,0,1,1,Unfurnished,11000489
Mumbai,Andheri,3212,2,2,4,17,18,1,0,0,Semi-Furnished,29471423
Chennai,Anna Nagar,827,3,4,13,25,26,0,0,0,Semi-Furnished,6111488
Chennai,Anna Nagar,1296,3,4,23,14,16,1,0,0,Fully Furnished,8605973
Delhi NCR,Dwarka,1703,4,5,20,22,28,0,1,0,Fully Furnished,14672291
Delhi NCR,Dwarka,3361,3,4,12,27,29,1,1,1,Semi-Furnished,25567935
Delhi NCR,Dwarka,1164,3,4,18,29,33,0,1,0,Fully Furnished,10435605
Hyderabad,Madhapur,3293,2,1,7,27,33,1,1,0,Fully Furnished,16627219
Chennai,Adyar,3594,1,2,11,19,21,1,0,0,Unfurnished,19331451
Chennai,Adyar,3477,4,5,19,3,7,1,1,1,Fully Furnished,22406209
Bangalore,Whitefield,1462,4,4,18,3,10,0,0,0,Semi-Furnished,8090931
Hyderabad,Jubilee Hills,2129,4,5,18,4,5,0,1,0,Semi-Furnished,11223378
Pune,Hinjewadi,1893,4,4,5,14,23,1,0,0,Semi-Furnished,12857194
Hyderabad,Kondapur,1768,4,4,7,1,8,1,1,1,Unfurnished,10263225
Pune,Viman Nagar,1683,3,3,9,10,19,1,1,1,Unfurnished,11315769
Bangalore,Indiranagar,872,4,4,20,22,29,1,0,1,Unfurnished,5155591
Mumbai,Powai,784,3,2,16,2,3,0,1,1,Fully Furnished,8855610
Chennai,OMR,3068,2,1,0,10,17,1,0,0,Semi-Furnished,17608954
Bangalore,Koramangala,3244,2,2,18,2,11,1,0,0,Semi-Furnished,15707453
Chennai,Velachery,1306,5,4,11,10,18,1,1,1,Unfurnished,9350554
Delhi NCR,Gurugram,1146,2,1,21,28,32,1,1,1,Fully Furnished,9373582
Mumbai,Thane,2104,4,5,1,1,6,0,1,0,Semi-Furnished,19844907
Mumbai,Andheri,2683,1,1,16,21,24,1,1,0,Semi-Furnished,23988242
Bangalore,Koramangala,595,2,2,6,19,21,1,1,0,Unfurnished,3590723
Mumbai,Andheri,3690,2,2,13,19,22,1,1,1,Semi-Furnished,34273508
Pune,Kothrud,3945,1,1,13,14,21,1,1,1,Unfurnished,26107843
Mumbai,Bandra,773,2,2,11,7,15,0,0,1,Fully Furnished,8487361
Chennai,Adyar,3425,2,3,15,27,29,1,0,1,Unfurnished,20163041
Chennai,T Nagar,3397,4,3,17,1,10,1,0,0,Unfurnished,18339032
Chennai,T Nagar,1700,1,1,7,22,26,1,1,1,Fully Furnished,10260580
Chennai,T Nagar,2272,2,3,1,17,19,1,1,0,Unfurnished,13391007
Pune,Wakad,1283,1,1,10,21,28,0,1,1,Unfurnished,8810208
Hyderabad,Kondapur,1800,3,2,0,28,30,0,1,0,Unfurnished,10030673
Delhi NCR,Dwarka,3709,3,4,9,20,27,1,0,0,Fully Furnished,27248817
Bangalore,Whitefield,631,3,2,17,7,15,1,0,0,Semi-Furnished,3772789
Chennai,T Nagar,3615,2,3,15,21,30,0,0,0,Fully Furnished,21730409
Mumbai,Bandra,3694,2,2,1,11,12,1,1,1,Semi-Furnished,34427033
